school,band_name,city,state,event,year,source_url
"Southern University ""Human Jukebox"" Marching Band",,Baton Rouge,LA,Rose,2020,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
United States Marine Corps West Coast Composite Band,,San Diego,CA,Rose,2020,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
West Harrison High School,"Hurricane Band, The Pride of South Mississippi",Gulfport,MS,Rose,2020,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
University of Wisconsin Marching Band,,Madison,WI,Rose,2020,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Arcadia High School,Apache Marching Band and Color Guard,Arcadia,CA,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
"Bands of America Honor Band, Music for All",,Indianapolis,IN,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
The Band Directors Marching Band,,Pickerington,OH,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Broken Arrow High School,The Pride of,Broken Arrow,OK,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Downingtown High School,Blue and Gold Marching Band,Downingtown,PA,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Georgia State University Panther Band,,Atlanta,GA,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Gibson County Tennessee Mass Band,,Dyer,TN,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Hebron High School,Mighty Hawk Band,Carrollton,TX,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Homewood High School,Patriot Band,Homewood,AL,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Los Angeles Unified School,All District High School Honor Band,Los Angeles,CA,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Mira Mesa High School,"The  ""Sapphire Sound"" Marching Band and Color Guard",San Diego,CA,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Ohio State University Marching Band,,Columbus,OH,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
O'Fallon Township High School,Marching Panthers,O'Fallon,IL,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Pasadena City College Tournament of Roses Honor Band & Herald Trumpets,,Pasadena,CA,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
The Salvation Army Tournament of Roses Band,,Los Angeles,CA,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Tennessee State University Aristocrat of Bands,,Nashville,TN,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
University of Utah Marching Band,,Salt Lake City,UT,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
United States Marine Corps West Coast Composite Band,,San Diego,CA,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
The Waukee Warrior Regiment,,Waukee,IA,Rose,2022,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
"All Gifu Honor Green Band, Gifu, Japan",,,,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
"Banda de Musica La Primavera, Santiago de Veraguas, Panama",,,,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Brookwood High School,Marching Band,Snellville,GA,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
"Buhos Marching Band, Veracruz, Mexico",,,,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Catalina Foothills High School,Marching Band Falcon Marching Band,Tucson,AZ,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Fresno State University Bulldog Marching Band,,Fresno,CA,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Los Angeles Unified School,All District High School Honor Band,Los Angeles,CA,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Northwoods Marching Band,,Eagle River,WI,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Norfolk State University Spartan Legion Marching Band,,Norfolk,VA,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Pasadena City College Tournament of Roses Honor Band & Herald Trumpets,,Pasadena,CA,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Pella Community School,District 's Pella Marching Dutch Band,Pella,IA,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Rockford High School,Marching Band,Rockford,MI,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Rosemount High School,Marching Band,Rosemount,MN,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Salvation Army Tournament of Roses Band,,Los Angeles,CA,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Taipei First Girls High School,"Marching Band, Honor Guard and Color Guard, Taipei, Taiwan, Republic of China",,,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
"Triuggio Marching Band Triuggio, Monza, and Brianza, Italy",,,,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
United States Marine Corps West Coast Composite Band,,San Diego,CA,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Vista Ridge High School,Marching Band,Cedar Park,TX,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Penn State University Marching Blue Band,,State College,PA,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
University of Utah Marching Band,,Salt Lake City,UT,Rose,2023,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Albertville High School,Aggie Marching Band,Albertville,AL,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
"Banda Municipal de Zarcero, Zarcero, Costa Rica",,,,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
John H. Castle High School,Marching Knights,Newburgh,IN,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Jenks High School,Trojan Pride Marching Band,Jenks,OK,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Niceville High School,Eagle Pride Band,Niceville,FL,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
North Carolina A&T State University Blue and Gold Marching Machine,,Greensboro,NC,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Los Angeles Unified School,All District High School Honor Band,Los Angeles,CA,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
William Mason High School,Marching Band,Mason,OH,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
The University of Alabama Million Dollar Band,,Tuscaloosa,AL,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
The Na Koa Ali'i,Hawaii All State Marching Band,Kailua,HI,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Pasadena City College Tournament of Roses Honor Band & Herald Trumpets,,Pasadena,CA,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Pipes On Parade: The Massed Pipes & Drums,,,,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Pulaski High School,Red Raider Marching Band,Pulaski,WI,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Salvation Army Tournament of Roses Band,,Los Angeles,CA,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Santiago High School,The BOSS,Corona,CA,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Tōhō High School,"Green Band, Nagoya, Aichi Prefecture, Japan",,,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
The West Chester University Golden Rams Marching Band,,West Chester,PA,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
United States Marine Corps West Coast Composite Band,,,,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
University of Michigan Marching Band,,Ann Arbor,MI,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Westlake High School,Chaparral Band,,,Rose,2024,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
"605 All Star Band, featuring Artesia, Bellflower, Cerritos, Gahr, John Glenn, La Mirada, Mayfair, and Norwalk high schools, Southern California",,,,Rose,2025,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
"All Star Marching Band Mexico, Puebla, Mexico",,,,Rose,2025,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
"Banda de Música Herberto López Colegio José Daniel Crespo, Herrera, Panama",,,,Rose,2025,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
The Fresno State University Bulldog Marching Band,,Fresno,CA,Rose,2025,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
"Helsingør Pigegarde, Helsingør, Denmark",,,,Rose,2025,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Homestead High School,Mighty Mustang Marching Band and Color Guard,Cupertino,CA,Rose,2025,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
"The Jackson State University "" The Sonic Boom of the South """,,Jackson,MS,Rose,2025,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Kyoto Tachibana High School,"Kyoto Tachibana High School Green Band, Kyoto, Japan",,,Rose,2025,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
The Lincoln-Way Marching Band,,Frankfort,IL,Rose,2025,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Los Angeles Unified School,All District High School Honor Band,Los Angeles,CA,Rose,2025,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
"The New England Honors Marching Band, from Massachusetts, Connecticut, Rhode Island, Vermont",,New Hampshire,ME,Rose,2025,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
The Ohio State University Marching Band,,,,Rose,2025,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Pasadena City College Tournament of Roses Honor Band & Herald Trumpets,,Pasadena,CA,Rose,2025,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Pebble Hills High School,Spartan Marching Band,El Paso,TX,Rose,2025,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Rancho Verde High School,Crimson Regiment,Moreno Valley,CA,Rose,2025,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Salesians of Don Bosco High School,"Marching Band, Rosemead, Bellflower, Boyle Heights/Los Southern California",,,Rose,2025,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
The Salvation Army Tournament of Roses Band,,Los Angeles,CA,Rose,2025,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
Seminole High School,Warhawk Marching Band,Seminole,FL,Rose,2025,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands
